section,category,description,date,metric,value
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,Total Pediatric Critical Care Ventilators,142
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-10-11,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Adult Critical Care Ventilators in Use,387
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Total Adult Critical Care Ventilators,1073
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Total Pediatric Critical Care Ventilators,141
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-10-12,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Adult Critical Care Ventilators in Use,351
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Total Adult Critical Care Ventilators,1074
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Percent of Adult Critical Care Ventilators in Use,0.33
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Pediatric Critical Care Ventilators in Use,29
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Total Pediatric Critical Care Ventilators,141
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-10-13,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Adult Critical Care Ventilators in Use,365
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Total Adult Critical Care Ventilators,1074
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Percent of Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.36
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Pediatric Critical Care Ventilators in Use,26
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Total Pediatric Critical Care Ventilators,141
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,Percent of Pediatric Critical Care Ventilators in Use,0.18
Hospital Data,Hospital Level,Ventilator Use,2020-10-14,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Confirmed COVID-19,56
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,COVID-19 Persons Under Investigation,43
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Total COVID-19 Patients,99
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Percent Confirmed COVID-19,0.57
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Percent COVID-19 Persons Under Investigation,0.43
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Confirmed COVID-19,74
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,COVID-19 Persons Under Investigation,81
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Total COVID-19 Patients,155
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Percent Confirmed COVID-19,0.48
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Percent COVID-19 Persons Under Investigation,0.52
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Confirmed COVID-19,116
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,COVID-19 Persons Under Investigation,176
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Total COVID-19 Patients,292
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Percent Confirmed COVID-19,0.4
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Percent COVID-19 Persons Under Investigation,0.6
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Confirmed COVID-19,152
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,COVID-19 Persons Under Investigation,268
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Total COVID-19 Patients,420
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Percent Confirmed COVID-19,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Percent COVID-19 Persons Under Investigation,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Confirmed COVID-19,230
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,COVID-19 Persons Under Investigation,379
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Total COVID-19 Patients,609
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Confirmed COVID-19,278
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,COVID-19 Persons Under Investigation,456
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Total COVID-19 Patients,734
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Confirmed COVID-19,307
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,COVID-19 Persons Under Investigation,540
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Total COVID-19 Patients,847
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Percent Confirmed COVID-19,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Percent COVID-19 Persons Under Investigation,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Confirmed COVID-19,332
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,COVID-19 Persons Under Investigation,533
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Total COVID-19 Patients,865
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Confirmed COVID-19,358
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,COVID-19 Persons Under Investigation,530
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Total COVID-19 Patients,888
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Percent Confirmed COVID-19,0.4
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Percent COVID-19 Persons Under Investigation,0.6
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Confirmed COVID-19,503
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,COVID-19 Persons Under Investigation,577
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Total COVID-19 Patients,1080
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Percent Confirmed COVID-19,0.47
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Percent COVID-19 Persons Under Investigation,0.53
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Confirmed COVID-19,574
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,COVID-19 Persons Under Investigation,622
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Total COVID-19 Patients,1196
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Percent Confirmed COVID-19,0.48
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Percent COVID-19 Persons Under Investigation,0.52
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Confirmed COVID-19,698
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,COVID-19 Persons Under Investigation,560
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Total COVID-19 Patients,1258
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Percent Confirmed COVID-19,0.55
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Percent COVID-19 Persons Under Investigation,0.45
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Confirmed COVID-19,739
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,COVID-19 Persons Under Investigation,467
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Total COVID-19 Patients,1206
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Percent Confirmed COVID-19,0.61
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Percent COVID-19 Persons Under Investigation,0.39
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Confirmed COVID-19,777
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,COVID-19 Persons Under Investigation,434
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Total COVID-19 Patients,1211
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Percent Confirmed COVID-19,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Percent COVID-19 Persons Under Investigation,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Confirmed COVID-19,783
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,COVID-19 Persons Under Investigation,489
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Total COVID-19 Patients,1272
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Percent Confirmed COVID-19,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Percent COVID-19 Persons Under Investigation,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,COVID-19 Persons Under Investigation,442
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Total COVID-19 Patients,1228
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Percent Confirmed COVID-19,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Percent COVID-19 Persons Under Investigation,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,COVID-19 Persons Under Investigation,470
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Total COVID-19 Patients,1256
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Percent Confirmed COVID-19,0.63
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Percent COVID-19 Persons Under Investigation,0.37
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Confirmed COVID-19,833
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,COVID-19 Persons Under Investigation,433
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Total COVID-19 Patients,1266
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Percent Confirmed COVID-19,0.66
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Percent COVID-19 Persons Under Investigation,0.34
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Confirmed COVID-19,848
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,COVID-19 Persons Under Investigation,429
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Total COVID-19 Patients,1277
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Percent Confirmed COVID-19,0.66
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Percent COVID-19 Persons Under Investigation,0.34
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,COVID-19 Persons Under Investigation,398
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Total COVID-19 Patients,1240
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Percent Confirmed COVID-19,0.68
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Percent COVID-19 Persons Under Investigation,0.32
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Confirmed COVID-19,841
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,COVID-19 Persons Under Investigation,345
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Total COVID-19 Patients,1186
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Percent Confirmed COVID-19,0.71
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Percent COVID-19 Persons Under Investigation,0.29
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Confirmed COVID-19,822
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,COVID-19 Persons Under Investigation,361
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Total COVID-19 Patients,1183
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Percent Confirmed COVID-19,0.69
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Percent COVID-19 Persons Under Investigation,0.31
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,COVID-19 Persons Under Investigation,376
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Total COVID-19 Patients,1218
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Percent Confirmed COVID-19,0.69
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Percent COVID-19 Persons Under Investigation,0.31
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-14,Confirmed COVID-19,888
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-14,COVID-19 Persons Under Investigation,331
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-14,Total COVID-19 Patients,1219
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-14,Percent Confirmed COVID-19,0.73
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-14,Percent COVID-19 Persons Under Investigation,0.27
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-15,Confirmed COVID-19,878
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-15,COVID-19 Persons Under Investigation,307
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-15,Total COVID-19 Patients,1185
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-15,Percent Confirmed COVID-19,0.74
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-15,Percent COVID-19 Persons Under Investigation,0.26
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-16,Confirmed COVID-19,859
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-16,COVID-19 Persons Under Investigation,336
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-16,Total COVID-19 Patients,1195
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-16,Percent Confirmed COVID-19,0.72
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-16,Percent COVID-19 Persons Under Investigation,0.28
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-17,Confirmed COVID-19,858
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-17,COVID-19 Persons Under Investigation,359
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-17,Total COVID-19 Patients,1217
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-17,Percent Confirmed COVID-19,0.71
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-17,Percent COVID-19 Persons Under Investigation,0.29
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-18,Confirmed COVID-19,843
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-18,COVID-19 Persons Under Investigation,267
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-18,Total COVID-19 Patients,1110
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-18,Percent Confirmed COVID-19,0.76
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-18,Percent COVID-19 Persons Under Investigation,0.24
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-19,Confirmed COVID-19,874
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-19,COVID-19 Persons Under Investigation,222
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-19,Total COVID-19 Patients,1096
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-19,Percent Confirmed COVID-19,0.8
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-19,Percent COVID-19 Persons Under Investigation,0.2
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-20,Confirmed COVID-19,861
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-20,COVID-19 Persons Under Investigation,223
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-20,Total COVID-19 Patients,1084
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-20,Percent Confirmed COVID-19,0.79
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-20,Percent COVID-19 Persons Under Investigation,0.21
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-21,Confirmed COVID-19,851
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-21,COVID-19 Persons Under Investigation,238
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-21,Total COVID-19 Patients,1089
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-21,Percent Confirmed COVID-19,0.78
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-21,Percent COVID-19 Persons Under Investigation,0.22
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-22,Confirmed COVID-19,859
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-22,COVID-19 Persons Under Investigation,218
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-22,Total COVID-19 Patients,1077
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-22,Percent Confirmed COVID-19,0.8
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-22,Percent COVID-19 Persons Under Investigation,0.2
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-23,Confirmed COVID-19,873
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-23,COVID-19 Persons Under Investigation,211
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-23,Total COVID-19 Patients,1084
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-23,Percent Confirmed COVID-19,0.81
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-23,Percent COVID-19 Persons Under Investigation,0.19
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-24,Confirmed COVID-19,866
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-24,COVID-19 Persons Under Investigation,218
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-24,Total COVID-19 Patients,1084
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-24,Percent Confirmed COVID-19,0.8
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-24,Percent COVID-19 Persons Under Investigation,0.2
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-25,Confirmed COVID-19,834
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-25,COVID-19 Persons Under Investigation,212
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-25,Total COVID-19 Patients,1046
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-25,Percent Confirmed COVID-19,0.8
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-25,Percent COVID-19 Persons Under Investigation,0.2
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-26,Confirmed COVID-19,812
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-26,COVID-19 Persons Under Investigation,195
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-26,Total COVID-19 Patients,1007
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-26,Percent Confirmed COVID-19,0.81
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-26,Percent COVID-19 Persons Under Investigation,0.19
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-27,Confirmed COVID-19,776
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-27,COVID-19 Persons Under Investigation,176
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-27,Total COVID-19 Patients,952
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-27,Percent Confirmed COVID-19,0.82
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-27,Percent COVID-19 Persons Under Investigation,0.18
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-28,Confirmed COVID-19,784
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-28,COVID-19 Persons Under Investigation,210
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-28,Total COVID-19 Patients,994
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-28,Percent Confirmed COVID-19,0.79
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-28,Percent COVID-19 Persons Under Investigation,0.21
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-29,Confirmed COVID-19,782
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-29,COVID-19 Persons Under Investigation,182
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-29,Total COVID-19 Patients,964
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-29,Percent Confirmed COVID-19,0.81
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-29,Percent COVID-19 Persons Under Investigation,0.19
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-30,Confirmed COVID-19,756
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-30,COVID-19 Persons Under Investigation,210
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-30,Total COVID-19 Patients,966
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-30,Percent Confirmed COVID-19,0.78
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-30,Percent COVID-19 Persons Under Investigation,0.22
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-01,Confirmed COVID-19,737
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-01,COVID-19 Persons Under Investigation,222
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-01,Total COVID-19 Patients,959
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-01,Percent Confirmed COVID-19,0.77
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-01,Percent COVID-19 Persons Under Investigation,0.23
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-02,Confirmed COVID-19,737
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-02,COVID-19 Persons Under Investigation,194
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-02,Total COVID-19 Patients,931
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-02,Percent Confirmed COVID-19,0.79
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-02,Percent COVID-19 Persons Under Investigation,0.21
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-03,Confirmed COVID-19,722
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-03,COVID-19 Persons Under Investigation,161
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-03,Total COVID-19 Patients,883
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-03,Percent Confirmed COVID-19,0.82
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-03,Percent COVID-19 Persons Under Investigation,0.18
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-04,Confirmed COVID-19,689
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-04,COVID-19 Persons Under Investigation,145
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-04,Total COVID-19 Patients,834
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-04,Percent Confirmed COVID-19,0.83
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-04,Percent COVID-19 Persons Under Investigation,0.17
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-05,Confirmed COVID-19,650
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-05,COVID-19 Persons Under Investigation,142
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-05,Total COVID-19 Patients,792
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-05,Percent Confirmed COVID-19,0.82
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-05,Percent COVID-19 Persons Under Investigation,0.18
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-06,Confirmed COVID-19,636
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-06,COVID-19 Persons Under Investigation,154
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-06,Total COVID-19 Patients,790
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-06,Percent Confirmed COVID-19,0.81
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-06,Percent COVID-19 Persons Under Investigation,0.19
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-07,Confirmed COVID-19,628
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-07,COVID-19 Persons Under Investigation,170
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-07,Total COVID-19 Patients,798
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-07,Percent Confirmed COVID-19,0.79
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-07,Percent COVID-19 Persons Under Investigation,0.21
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-08,Confirmed COVID-19,610
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-08,COVID-19 Persons Under Investigation,211
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-08,Total COVID-19 Patients,821
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-08,Percent Confirmed COVID-19,0.74
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-08,Percent COVID-19 Persons Under Investigation,0.26
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-09,Confirmed COVID-19,586
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-09,COVID-19 Persons Under Investigation,204
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-09,Total COVID-19 Patients,790
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-09,Percent Confirmed COVID-19,0.74
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-09,Percent COVID-19 Persons Under Investigation,0.26
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-10,Confirmed COVID-19,573
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-10,COVID-19 Persons Under Investigation,184
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-10,Total COVID-19 Patients,757
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-10,Percent Confirmed COVID-19,0.76
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-10,Percent COVID-19 Persons Under Investigation,0.24
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-11,Confirmed COVID-19,557
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-11,COVID-19 Persons Under Investigation,189
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-11,Total COVID-19 Patients,746
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-11,Percent Confirmed COVID-19,0.75
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-11,Percent COVID-19 Persons Under Investigation,0.25
Hospital Data,Hospital Level,Currently Hospitalized,2020-05-12,Confirmed COVID-19,563
